sample_index,wall_time_s,elapsed_s,tick,mode_machine,arm0,arm1,arm2,arm3,arm4,arm5,arm6,arm7,arm8,arm9,arm10,arm11,arm12,arm13
748,1782728491.559475899,25.605624118,3501011,5,0.2915642,0.2062965,-0.0100308,0.9878477,0.2146734,0.0509449,-0.0636482,0.2967654,-0.2101554,0.0327169,0.9874522,-0.1185240,0.0643193,0.0480807
749,1782728491.592659473,25.638701585,3501044,5,0.2915522,0.2063084,-0.0100308,0.9878477,0.2146734,0.0509449,-0.0636362,0.2967534,-0.2101793,0.0327649,0.9874522,-0.1185599,0.0642954,0.0480807
750,1782728491.626819372,25.672477091,3501078,5,0.2915402,0.2062965,-0.0100188,0.9878237,0.2146614,0.0509569,-0.0636482,0.2967534,-0.2101554,0.0327409,0.9874522,-0.1185240,0.0642954,0.0480807
751,1782728491.658340693,25.706329752,3501109,5,0.2915522,0.2062965,-0.0100188,0.9878357,0.2146734,0.0509330,-0.0636362,0.2967414,-0.2101554,0.0327289,0.9874522,-0.1185000,0.0642834,0.0480927
752,1782728491.692599297,25.738124490,3501144,5,0.2915642,0.2062965,-0.0100308,0.9878237,0.2146495,0.0509449,-0.0636243,0.2967534,-0.2101554,0.0327409,0.9874522,-0.1185719,0.0642954,0.0480927
753,1782728491.725843191,25.771816186,3501177,5,0.2915762,0.2062845,-0.0100188,0.9878237,0.2146614,0.0509449,-0.0636362,0.2967534,-0.2101554,0.0327409,0.9874522,-0.1185599,0.0642954,0.0480927
754,1782728491.757883310,25.805085787,3501209,5,0.2915522,0.2062965,-0.0100188,0.9878357,0.2146255,0.0509330,-0.0636243,0.2967654,-0.2101554,0.0327289,0.9874522,-0.1185240,0.0642954,0.0480927
755,1782728491.791207314,25.837594021,3501242,5,0.2915402,0.2063084,-0.0100428,0.9878357,0.2146255,0.0509569,-0.0636482,0.2967534,-0.2101554,0.0327289,0.9874522,-0.1185000,0.0642954,0.0480927
756,1782728491.822596073,25.870973322,3501274,5,0.2915642,0.2063084,-0.0100428,0.9878357,0.2146495,0.0509330,-0.0636243,0.2967654,-0.2101554,0.0327409,0.9874522,-0.1184880,0.0642834,0.0480807
757,1782728491.859714985,25.902025478,3501311,5,0.2915642,0.2062965,-0.0100308,0.9878357,0.2146614,0.0509330,-0.0636362,0.2967534,-0.2101554,0.0327409,0.9874522,-0.1185719,0.0643074,0.0480807
758,1782728491.892942190,25.939252133,3501344,5,0.2915522,0.2062965,-0.0100188,0.9878477,0.2146375,0.0509569,-0.0636243,0.2967534,-0.2101554,0.0327289,0.9874522,-0.1185240,0.0642954,0.0480927
759,1782728491.923117638,25.972228030,3501374,5,0.2915522,0.2062965,-0.0100308,0.9878237,0.2146495,0.0509449,-0.0636362,0.2967534,-0.2101554,0.0327289,0.9874522,-0.1185120,0.0643074,0.0480927
760,1782728491.952817678,26.003026257,3501404,5,0.2915642,0.2062845,-0.0100188,0.9878357,0.2146135,0.0509569,-0.0636243,0.2967534,-0.2101554,0.0327289,0.9874522,-0.1184521,0.0643074,0.0480807
761,1782728491.987795830,26.032600061,3501439,5,0.2915642,0.2062965,-0.0100308,0.9878597,0.2146495,0.0509449,-0.0636362,0.2967654,-0.2101793,0.0327409,0.9874522,-0.1185240,0.0642954,0.0480807
762,1782728492.026021957,26.067497587,3501477,5,0.2915522,0.2062965,-0.0100308,0.9878237,0.2146495,0.0509449,-0.0636362,0.2967414,-0.2101554,0.0327289,0.9874522,-0.1185480,0.0642834,0.0480927
